"imageSrc","title","projectLink","description"
"//upload.wikimedia.org/wikipedia/en/thumb/4/4a/Commons-logo.svg/31px-Commons-logo.svg.png","Commons","https://commons.wikimedia.org/wiki/","Free media repository"
"//upload.wikimedia.org/wikipedia/commons/thumb/a/a6/MediaWiki-2020-icon.svg/35px-MediaWiki-2020-icon.svg.png","MediaWiki","https://www.mediawiki.org/wiki/","Wiki software development"
"//upload.wikimedia.org/wikipedia/commons/thumb/7/75/Wikimedia_Community_Logo.svg/35px-Wikimedia_Community_Logo.svg.png","Meta-Wiki","https://meta.wikimedia.org/wiki/","Wikimedia project coordination"
"//upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Wikibooks-logo.svg/35px-Wikibooks-logo.svg.png","Wikibooks","https://en.wikibooks.org/wiki/","Free textbooks and manuals"
"//upload.wikimedia.org/wikipedia/commons/thumb/f/ff/Wikidata-logo.svg/47px-Wikidata-logo.svg.png","Wikidata","https://www.wikidata.org/wiki/","Free knowledge base"
"//upload.wikimedia.org/wikipedia/commons/thumb/2/24/Wikinews-logo.svg/51px-Wikinews-logo.svg.png","Wikinews","https://en.wikinews.org/wiki/","Free-content news"
"//upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Wikiquote-logo.svg/35px-Wikiquote-logo.svg.png","Wikiquote","https://en.wikiquote.org/wiki/","Collection of quotations"
"//upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Wikisource-logo.svg/35px-Wikisource-logo.svg.png","Wikisource","https://en.wikisource.org/wiki/","Free-content library"
"//upload.wikimedia.org/wikipedia/commons/thumb/d/df/Wikispecies-logo.svg/35px-Wikispecies-logo.svg.png","Wikispecies","https://species.wikimedia.org/wiki/","Directory of species"
"//upload.wikimedia.org/wikipedia/commons/thumb/0/0b/Wikiversity_logo_2017.svg/41px-Wikiversity_logo_2017.svg.png","Wikiversity","https://en.wikiversity.org/wiki/","Free learning tools"
"//upload.wikimedia.org/wikipedia/commons/thumb/d/dd/Wikivoyage-Logo-v3-icon.svg/35px-Wikivoyage-Logo-v3-icon.svg.png","Wikivoyage","https://en.wikivoyage.org/wiki/","Free travel guide"
"//upload.wikimedia.org/wikipedia/en/thumb/0/06/Wiktionary-logo-v2.svg/35px-Wiktionary-logo-v2.svg.png","Wiktionary","https://en.wiktionary.org/wiki/","Dictionary and thesaurus"
